subgroup,state,modern_method,se.modern_method,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
ALL,Africa:Senegal:Dakar,,,1990,,,1,1990,0.0928927955134993,0.1578525436752918,0.0530242895778156,2
ALL,Africa:Senegal:Dakar,,,1991,,,1,1991,0.0929363727370544,0.1452878329174062,0.0582200181952989,2
ALL,Africa:Senegal:Dakar,,,1992,,,1,1992,0.093024608781694,0.1308060924820456,0.0653888861433577,2
ALL,Africa:Senegal:Dakar,0.0977835723598435,0.0089773795482945,1993,Senegal,DHS_1993,1,1993,0.0931341192783007,0.1107274903496325,0.0781405410945498,2
ALL,Africa:Senegal:Dakar,,,1994,,,1,1994,0.0946267925089754,0.1307281116668687,0.0677624553239632,2
ALL,Africa:Senegal:Dakar,,,1995,,,1,1995,0.0961630028518096,0.1439784432947547,0.063094359085491,2
ALL,Africa:Senegal:Dakar,,,1996,,,1,1996,0.0977680343177074,0.1540461820294974,0.0605857395685495,2
ALL,Africa:Senegal:Dakar,,,1997,,,1,1997,0.0994435904337954,0.1618548751117655,0.0594123888381924,2
ALL,Africa:Senegal:Dakar,,,1998,,,1,1998,0.1011919851454211,0.1675958080044944,0.0592477772262422,2
ALL,Africa:Senegal:Dakar,,,1999,,,1,1999,0.1030156659077961,0.1713699063565666,0.0599738470573337,2
ALL,Africa:Senegal:Dakar,,,2000,,,1,2000,0.1049172388518959,0.1731512349160089,0.0615874562456289,2
ALL,Africa:Senegal:Dakar,,,2001,,,1,2001,0.1068993870534584,0.1727983917317146,0.0641951498776687,2
ALL,Africa:Senegal:Dakar,,,2002,,,1,2002,0.1089649198571545,0.170018893698272,0.0680444790566606,2
ALL,Africa:Senegal:Dakar,,,2003,,,1,2003,0.1111168694759871,0.1642435715391977,0.0736594797351001,2
ALL,Africa:Senegal:Dakar,,,2004,,,1,2004,0.113358638592681,0.1542600041119174,0.0822534293421482,2
ALL,Africa:Senegal:Dakar,0.1146167184206657,0.0100605868513792,2005,Senegal,DHS_2005,1,2005,0.1157067802626475,0.1345161758359541,0.0991957804103476,2
ALL,Africa:Senegal:Dakar,,,2006,,,1,2006,0.118589113278931,0.1576919317868651,0.0881447781721002,2
ALL,Africa:Senegal:Dakar,,,2007,,,1,2007,0.121604321945572,0.1689942563416259,0.0860603781609665,2
ALL,Africa:Senegal:Dakar,,,2008,,,1,2008,0.1247416177145219,0.1729214988115885,0.0884361376931608,2
ALL,Africa:Senegal:Dakar,,,2009,,,1,2009,0.1280031666496952,0.1689591665809274,0.0956899000787989,2
ALL,Africa:Senegal:Dakar,0.1285692907095503,0.0112834928042031,2010,Senegal,DHS_2010,1,2010,0.1313022746384863,0.1505634827589278,0.1141722088794761,2
ALL,Africa:Senegal:Dakar,,,2011,,,1,2011,0.1464323746934447,0.1835780307151749,0.1157516608374527,2
ALL,Africa:Senegal:Dakar,0.1777610740195974,0.0191183540208014,2012,Senegal,DHS_2012,1,2012,0.1628746578131217,0.1882399723241351,0.1408113087110244,2
ALL,Africa:Senegal:Dakar,,,2013,,,1,2013,0.1807790240959461,0.2244062416445069,0.1444483077929595,2
ALL,Africa:Senegal:Dakar,0.2072080447539044,0.0193612025406184,2014,Senegal,DHS_2014,1,2014,0.2003443768087557,0.2266012202869429,0.176652477155339,2
ALL,Africa:Senegal:Dakar,0.1943633195396746,0.0186041380971452,2015,Senegal,DHS_2015,1,2015,0.2040477294334071,0.2290955100408453,0.1809851823371306,2
ALL,Africa:Senegal:Dakar,0.2050742595149749,0.0195719032576071,2016,Senegal,DHS_2016,1,2016,0.2144022053593939,0.2392719338353773,0.1913201631705673,2
ALL,Africa:Senegal:Dakar,0.2464606757463501,0.0142647725744517,2017,Senegal,DHS_2017,1,2017,0.2354732880693251,0.2568242441335557,0.2156186689933847,2
ALL,Africa:Senegal:Dakar,0.2204070310886285,0.0139495910442387,2018,Senegal,DHS_2018,1,2018,0.2144429958683933,0.2350353332048224,0.1952156662767498,2
ALL,Africa:Senegal:Dakar,0.1956004590790861,0.0126250835735684,2019,Senegal,DHS_2019,1,2019,0.2119218919624377,0.2348273309055702,0.190242790733503,2
ALL,Africa:Senegal:Dakar,,,2020,,,1,2020,0.2113069402753561,0.2766177789217823,0.1575627983714302,2
ALL,Africa:Senegal:Dakar,,,2021,,,1,2021,0.2108753813772179,0.3027149231565196,0.1408043419584051,2
ALL,Africa:Senegal:Dakar,,,2022,,,1,2022,0.2105300644470669,0.3241309921873472,0.1287097597429101,2
ALL,Africa:Senegal:Dakar,,,2023,,,1,2023,0.2102712616986686,0.3430004253205467,0.1191571799555382,2
ALL,Africa:Senegal:Dakar,,,2024,,,1,2024,0.2100990541077872,0.3602218038812512,0.1112559814284217,2
ALL,Africa:Senegal:Dakar,,,2025,,,1,2025,0.2100134116514393,0.3762658232114674,0.1045320322126352,2
ALL,Africa:Senegal:Sédhiou,,,1990,,,2,1990,0.0282878630848348,0.0607622823609321,0.0124679494806746,2
ALL,Africa:Senegal:Sédhiou,,,1991,,,2,1991,0.0282790411031831,0.0569530909240049,0.0133513984155102,2
ALL,Africa:Senegal:Sédhiou,,,1992,,,2,1992,0.028262891853632,0.0530195687845088,0.0144019171336362,2
ALL,Africa:Senegal:Sédhiou,0.0131578947368421,0.0063886950131218,1993,Senegal,DHS_1993,2,1993,0.0282248734760745,0.048862313525758,0.0156791526691099,2
ALL,Africa:Senegal:Sédhiou,,,1994,,,2,1994,0.0303240373549791,0.0547613329619783,0.0161171004810933,2
ALL,Africa:Senegal:Sédhiou,,,1995,,,2,1995,0.0325495081913013,0.060534388289411,0.0167821421502731,2
ALL,Africa:Senegal:Sédhiou,,,1996,,,2,1996,0.0349235683793499,0.0661958991526787,0.0176755917774827,2
ALL,Africa:Senegal:Sédhiou,,,1997,,,2,1997,0.0374560957553356,0.0716548646343901,0.0187918580259241,2
ALL,Africa:Senegal:Sédhiou,,,1998,,,2,1998,0.0401562775147357,0.0768007940808875,0.0201796719823558,2
ALL,Africa:Senegal:Sédhiou,,,1999,,,2,1999,0.043033908684814,0.0815992957591183,0.0218608953482309,2
