subgroup,state,unmet_need,se.unmet_need,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Parity 0,Africa:Senegal:Dakar,,,1990,,,1,1990,0.0157938537422888,0.0354490475097376,0.0063581917633473,1
Parity 0,Africa:Senegal:Dakar,,,1991,,,1,1991,0.0157831765237722,0.0331185192999087,0.0068228143919336,1
Parity 0,Africa:Senegal:Dakar,,,1992,,,1,1992,0.0157672864037494,0.0307870324170487,0.0073643880270453,1
Parity 0,Africa:Senegal:Dakar,0.00814332247557,0.0042414212448314,1993,Senegal,DHS_1993,1,1993,0.0157407368725671,0.0283803021268306,0.0080090240183933,1
Parity 0,Africa:Senegal:Dakar,,,1994,,,1,1994,0.0165763964954365,0.031032932726912,0.0081772664944641,1
Parity 0,Africa:Senegal:Dakar,,,1995,,,1,1995,0.0174439494608543,0.0335897235272424,0.0084305145353277,1
Parity 0,Africa:Senegal:Dakar,,,1996,,,1,1996,0.0183493218902335,0.036031425511285,0.0087721454475534,1
Parity 0,Africa:Senegal:Dakar,,,1997,,,1,1997,0.0192939376177396,0.0382782108578848,0.0092132785572243,1
Parity 0,Africa:Senegal:Dakar,,,1998,,,1,1998,0.0202793413405652,0.0403095086122512,0.0097662952486236,1
Parity 0,Africa:Senegal:Dakar,,,1999,,,1,1999,0.0213072692795802,0.0420496101364035,0.0104516801907173,1
Parity 0,Africa:Senegal:Dakar,,,2000,,,1,2000,0.0223798098651151,0.0434133315030949,0.0112914982000235,1
Parity 0,Africa:Senegal:Dakar,,,2001,,,1,2001,0.0234994529882519,0.0442831120244198,0.0123320300870657,1
Parity 0,Africa:Senegal:Dakar,,,2002,,,1,2002,0.0246690673578984,0.0446006283051641,0.0136389711541686,1
Parity 0,Africa:Senegal:Dakar,,,2003,,,1,2003,0.0258937026279185,0.044142053791242,0.0153236351364502,1
Parity 0,Africa:Senegal:Dakar,,,2004,,,1,2004,0.0271837788986204,0.0426302795286942,0.0175934852397767,1
Parity 0,Africa:Senegal:Dakar,0.032836060661058,0.0064260470610942,2005,Senegal,DHS_2005,1,2005,0.028614854390182,0.03938026500617,0.0209502395651167,1
Parity 0,Africa:Senegal:Dakar,,,2006,,,1,2006,0.0259835912792061,0.0397197544767105,0.0172586739092976,1
Parity 0,Africa:Senegal:Dakar,,,2007,,,1,2007,0.0236549290488828,0.0377878514804943,0.0149516292198773,1
Parity 0,Africa:Senegal:Dakar,,,2008,,,1,2008,0.0215310110251735,0.0345311272203223,0.0134531037933461,1
Parity 0,Africa:Senegal:Dakar,,,2009,,,1,2009,0.019581796256345,0.0304070494487787,0.0125769984855329,1
Parity 0,Africa:Senegal:Dakar,0.0148521411798762,0.0057530317121084,2010,Senegal,DHS_2010,1,2010,0.0177520765338956,0.025679489603086,0.012379964448609,1
Parity 0,Africa:Senegal:Dakar,,,2011,,,1,2011,0.0177017280998003,0.0267493007362001,0.0117556841084445,1
Parity 0,Africa:Senegal:Dakar,0.0310062858171387,0.0127790163783875,2012,Senegal,DHS_2012,1,2012,0.0176074959471134,0.0257562079931814,0.0122029321426769,1
Parity 0,Africa:Senegal:Dakar,,,2013,,,1,2013,0.0162752825875714,0.0247383842502879,0.0106330687267523,1
Parity 0,Africa:Senegal:Dakar,0.0070391835828431,0.0067348095341042,2014,Senegal,DHS_2014,1,2014,0.0150147604976698,0.0221825424595593,0.0100010276215232,1
Parity 0,Africa:Senegal:Dakar,0.0127155548429785,0.0073031116464629,2015,Senegal,DHS_2015,1,2015,0.0147979188686341,0.0215297241155871,0.0099544005091497,1
Parity 0,Africa:Senegal:Dakar,0.0093556623898452,0.005972703872213,2016,Senegal,DHS_2016,1,2016,0.0167679360062689,0.0244401890171457,0.0112038284847028,1
Parity 0,Africa:Senegal:Dakar,0.0095275301860238,0.0036481448683247,2017,Senegal,DHS_2017,1,2017,0.0154143491660892,0.022283401070673,0.0103528959137161,1
Parity 0,Africa:Senegal:Dakar,0.0114136285537744,0.0075272054627561,2018,Senegal,DHS_2018,1,2018,0.0131497644466995,0.019673373259662,0.0086059624156905,1
Parity 0,Africa:Senegal:Dakar,0.0203690492693337,0.0091665453942152,2019,Senegal,DHS_2019,1,2019,0.0128475734416078,0.0198080293246094,0.0082933389644313,1
Parity 0,Africa:Senegal:Dakar,,,2020,,,1,2020,0.0128994347265975,0.0221487755362361,0.0073583356976433,1
Parity 0,Africa:Senegal:Dakar,,,2021,,,1,2021,0.0129275757999461,0.0243558196171835,0.0066765590371498,1
Parity 0,Africa:Senegal:Dakar,,,2022,,,1,2022,0.0129478274600343,0.0264789136894205,0.0061374480697583,1
Parity 0,Africa:Senegal:Dakar,,,2023,,,1,2023,0.0129625639726262,0.0285405515705136,0.0056890528618846,1
Parity 0,Africa:Senegal:Dakar,,,2024,,,1,2024,0.0129727965645366,0.0305712900582101,0.0053082422292387,1
Parity 0,Africa:Senegal:Dakar,,,2025,,,1,2025,0.0129790282160017,0.0325811867320935,0.0049774264005591,1
Parity 0,Africa:Senegal:Sédhiou,,,1990,,,2,1990,0.0567476431683879,0.1467945825120127,0.0214624119053379,1
Parity 0,Africa:Senegal:Sédhiou,,,1991,,,2,1991,0.0566747133252294,0.1399500383854298,0.0227937978682097,1
Parity 0,Africa:Senegal:Sédhiou,,,1992,,,2,1992,0.0565605227874637,0.1330909650917063,0.0242605448366578,1
Parity 0,Africa:Senegal:Sédhiou,0.0,0.0,1993,Senegal,DHS_1993,2,1993,0.0563610268777181,0.1262617319843412,0.0259135267282019,1
Parity 0,Africa:Senegal:Sédhiou,,,1994,,,2,1994,0.0582736603031788,0.129867643905752,0.0263825908574058,1
