subgroup,state,unmet_need,se.unmet_need,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
ALL,Africa:Senegal:Dakar,,,1990,,,1,1990,0.1837091330711735,0.2384185545130594,0.1394844848883635,1
ALL,Africa:Senegal:Dakar,,,1991,,,1,1991,0.1835590561375305,0.2300803138939027,0.1448809463737695,1
ALL,Africa:Senegal:Dakar,,,1992,,,1,1992,0.1832570329815849,0.2202783737565127,0.1513759683215031,1
ALL,Africa:Senegal:Dakar,0.1799217731421121,0.0125920540893803,1993,Senegal,DHS_1993,1,1993,0.1827748611863985,0.2072707930625277,0.16062480668974,1
ALL,Africa:Senegal:Dakar,,,1994,,,1,1994,0.1842947131305804,0.2193076922068449,0.1539804324346671,1
ALL,Africa:Senegal:Dakar,,,1995,,,1,1995,0.1856344386480828,0.2275615182175598,0.1503404570156852,1
ALL,Africa:Senegal:Dakar,,,1996,,,1,1996,0.18682570307981,0.2336827617356671,0.1481466733108938,1
ALL,Africa:Senegal:Dakar,,,1997,,,1,1997,0.1878673483876535,0.2380950143167564,0.1469377394681905,1
ALL,Africa:Senegal:Dakar,,,1998,,,1,1998,0.1887579646414274,0.240977197959162,0.1465294090284652,1
ALL,Africa:Senegal:Dakar,,,1999,,,1,1999,0.1894961370302613,0.2424243576965637,0.1468326957315094,1
ALL,Africa:Senegal:Dakar,,,2000,,,1,2000,0.1900807855959386,0.2424504669458245,0.1478251198810895,1
ALL,Africa:Senegal:Dakar,,,2001,,,1,2001,0.1905114391329463,0.2410039634920293,0.149554744375051,1
ALL,Africa:Senegal:Dakar,,,2002,,,1,2002,0.1907882144692402,0.2379517584837959,0.1521469640666111,1
ALL,Africa:Senegal:Dakar,,,2003,,,1,2003,0.1909126170936476,0.2330139121102799,0.155835834792236,1
ALL,Africa:Senegal:Dakar,,,2004,,,1,2004,0.1908904223965768,0.2256255738555821,0.1611873444092423,1
ALL,Africa:Senegal:Dakar,0.1929249233845984,0.0129780028547369,2005,Senegal,DHS_2005,1,2005,0.1908863324612205,0.2136906703342821,0.1703374323052862,1
ALL,Africa:Senegal:Dakar,,,2006,,,1,2006,0.1864514018650259,0.2185337590960203,0.158924566178089,1
ALL,Africa:Senegal:Dakar,,,2007,,,1,2007,0.1821127413201836,0.2176481356858429,0.1522243451462565,1
ALL,Africa:Senegal:Dakar,,,2008,,,1,2008,0.1777152704177927,0.2131062618343453,0.148146778924258,1
ALL,Africa:Senegal:Dakar,,,2009,,,1,2009,0.1732620975171357,0.205185803885074,0.146465693720641,1
ALL,Africa:Senegal:Dakar,0.1918295081476786,0.0195293187043681,2010,Senegal,DHS_2010,1,2010,0.1687231358635935,0.1928370258414381,0.14813887263233,1
ALL,Africa:Senegal:Dakar,,,2011,,,1,2011,0.16096580199732,0.187106001791823,0.1386089321381087,1
ALL,Africa:Senegal:Dakar,0.1453229793870546,0.0161902991140938,2012,Senegal,DHS_2012,1,2012,0.1536987859771027,0.1742843655899089,0.1352930856239885,1
ALL,Africa:Senegal:Dakar,,,2013,,,1,2013,0.1400173117185812,0.1622884743654559,0.120560709806733,1
ALL,Africa:Senegal:Dakar,0.1349231826446977,0.0165104033026129,2014,Senegal,DHS_2014,1,2014,0.1274335874517995,0.1441734467665356,0.1123875950275169,1
ALL,Africa:Senegal:Dakar,0.1165762409004535,0.0153917879992645,2015,Senegal,DHS_2015,1,2015,0.1183234856041789,0.1333552847577805,0.1044895856291338,1
ALL,Africa:Senegal:Dakar,0.1022017154266529,0.0125228159152368,2016,Senegal,DHS_2016,1,2016,0.1070521574253442,0.1203205113707033,0.0945954104468359,1
ALL,Africa:Senegal:Dakar,0.0786233455102753,0.0077138829208619,2017,Senegal,DHS_2017,1,2017,0.1005397063590542,0.1127307057546382,0.0889894253116109,1
ALL,Africa:Senegal:Dakar,0.0864192829163993,0.0100865012627274,2018,Senegal,DHS_2018,1,2018,0.0968312749535605,0.1091578438538098,0.0855264581614537,1
ALL,Africa:Senegal:Dakar,0.1192733625256862,0.0111009829958939,2019,Senegal,DHS_2019,1,2019,0.1012164794416198,0.1155241010850975,0.0887789067100345,1
ALL,Africa:Senegal:Dakar,,,2020,,,1,2020,0.1018622040553177,0.1244201122812182,0.0832828646824762,1
ALL,Africa:Senegal:Dakar,,,2021,,,1,2021,0.1023313026111515,0.1312174211231694,0.079561962319804,1
ALL,Africa:Senegal:Dakar,,,2022,,,1,2022,0.1027064259670436,0.1370913123599599,0.0765585021891664,1
ALL,Africa:Senegal:Dakar,,,2023,,,1,2023,0.1029880474583323,0.1423382963032835,0.0739923378183666,1
ALL,Africa:Senegal:Dakar,,,2024,,,1,2024,0.1031758507460591,0.1471234186272159,0.0717050661981649,1
ALL,Africa:Senegal:Dakar,,,2025,,,1,2025,0.10326954911588,0.1514960007261052,0.0695931836922965,1
